2025-06-18 09:12:45 | INFO | UserLogin | user1
2025-06-18 09:13:01 | ERROR | FileUpload | user2
2025-06-18 09:14:22 | INFO | UserLogin | user3
2025-06-18 09:15:37 | WARNING | PasswordAttempt | user1
2025-06-18 09:16:10 | INFO | FileDownload | user4
2025-06-18 09:16:45 | INFO | UserLogin | user2
2025-06-18 09:17:05 | ERROR | FileDelete | user5
2025-06-18 09:18:09 | WARNING | PasswordAttempt | user2
2025-06-18 09:19:11 | INFO | FileUpload | user1
2025-06-18 09:20:00 | ERROR | FileUpload | user3
2025-06-18 09:21:32 | INFO | UserLogin | user4
2025-06-18 09:22:10 | INFO | FileDownload | user1
2025-06-18 09:22:45 | WARNING | FileAccess | user2
2025-06-18 09:23:19 | INFO | UserLogout | user5
2025-06-18 09:23:50 | ERROR | FileUpload | user3
2025-06-18 09:24:33 | WARNING | PasswordAttempt | user4
2025-06-18 09:25:21 | INFO | UserLogin | user3
2025-06-18 09:26:44 | INFO | FileUpload | user1
2025-06-18 09:27:55 | ERROR | FileDelete | user2
2025-06-18 09:28:37 | WARNING | FileAccess | user5
2025-06-18 09:29:59 | INFO | UserLogin | user4
2025-06-18 09:30:20 | INFO | FileUpload | user2
2025-06-18 09:31:05 | INFO | UserLogout | user1
2025-06-18 09:32:30 | WARNING | PasswordAttempt | user3
2025-06-18 09:33:12 | ERROR | FileUpload | user4
2025-06-18 09:34:45 | INFO | UserLogin | user5
2025-06-18 09:35:00 | WARNING | FileAccess | user3
2025-06-18 09:36:23 | INFO | FileDownload | user2
2025-06-18 09:37:11 | ERROR | FileDelete | user1
2025-06-18 09:38:34 | INFO | UserLogout | user2
